,acc_train,acc_test,epsilon,batch_size,hidden_size,aux_loss_activated,EPS1,n,opt
108,99,85,0.05,256,150,True,0.0001,10000,1
109,99,84,0.05,256,150,True,0.0001,10000,2
110,99,84,0.05,256,150,True,0.0001,10000,3
111,99,90,0.05,256,150,True,0.0001,100000,1
112,99,89,0.05,256,150,True,0.0001,100000,2
113,99,89,0.05,256,150,True,0.0001,100000,3
114,99,84,0.05,256,150,True,1e-05,10000,1
115,99,83,0.05,256,150,True,1e-05,10000,2
116,99,82,0.05,256,150,True,1e-05,10000,3
117,99,87,0.05,256,150,True,1e-05,100000,1
